Codmundv,municipality_name
5201108,Anápolis
5201306,Anicuns
5201454,Aparecida do Rio Doce
5201603,Araçu
5201702,Aragarças
5201801,Aragoiânia
5203203,Barro Alto
5203302,Bela Vista de Goiás
5203401,Bom Jardim de Goiás
5203500,Bom Jesus de Goiás
5203807,Britânia
5204102,Cachoeira Alta
5204250,Cachoeira Dourada
5204300,Caçu
5204409,Caiapônia
5204508,Caldas Novas
5204557,Caldazinha
5204706,Campinorte
5204854,Campo Limpo de Goiás
5204904,Campos Belos
5205059,Castelândia
5205406,Ceres
5205455,Cezarina
5205513,Cocalzinho de Goiás
5205703,Córrego do Ouro
5205802,Corumbá de Goiás
5205901,Corumbaíba
5206206,Cristalina
5206404,Crixás
5207105,Diorama
5207352,Edealina
5207402,Edéia
5207808,Firminópolis
5208103,Formoso
5208152,Gameleira de Goiás
5208400,Goianápolis
5208608,Goianésia
5208806,Goianira
5209101,Goiatuba
5209150,Gouvelândia
5209457,Guarinos
5209903,Iaciara
5209952,Indiara
5210000,Inhumas
5210109,Ipameri
5210208,Iporá
5210901,Itapaci
5211206,Itapuranga
5211503,Itumbiara
5211701,Jandaia
5211800,Jaraguá
5211909,Jataí
5212105,Joviânia
5212204,Jussara
5212501,Luziânia
5213004,Maurilândia
5213087,Minaçu
5213707,Montes Claros de Goiás
5213756,Montividiu
5213806,Morrinhos
5214002,Mozarlândia
5214051,Mundo Novo
5214507,Nerópolis
5214838,Nova Crixás
5215207,Novo Brasil
5215231,Novo Gama
5215306,Orizona
5215405,Ouro Verde de Goiás
5215504,Ouvidor
5215603,Padre Bernardo
5215702,Palmeiras de Goiás
5216403,Paraúna
5216908,Pilar de Goiás
5217104,Piracanjuba
5217203,Piranhas
5217302,Pirenópolis
5217401,Pires do Rio
5217609,Planaltina
5217708,Pontalina
5218003,Porangatu
5218102,Portelândia
5218300,Posse
5218607,Rialma
5218789,Rio Quente
5218805,Rio Verde
5218904,Rubiataba
5219001,Sanclerlândia
5219100,Santa Bárbara de Goiás
5219308,Santa Helena de Goiás
5219506,Santa Rosa de Goiás
5219704,Santa Terezinha de Goiás
5219712,Santo Antônio da Barra
5219738,Santo Antônio de Goiás
5219753,Santo Antônio do Descoberto
5220108,São Luís de Montes Belos
5220207,São Miguel do Araguaia
5220405,São Simão
5220504,Serranópolis
5221197,Terezópolis de Goiás
5221403,Trindade
5221502,Turvânia
5221601,Uruaçu
5221700,Uruana
5221809,Urutaí
5222054,Vicentinópolis
5222302,Vila Propício
5300108,Brasília
